"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)", "Time Ch. 1 (sec)", "Time Ch. 2 (sec)"
391.926697, 152.490234, 145.283203, 50.781250, 0.128146, 0.128145
315.745026, 114.873047, 56.777344, 5.859375, 0.133024, 0.133023
417.511169, 160.664063, 179.560547, 12.276786, 0.149902, 0.149901
386.247681, 159.082031, 129.287109, 18.973215, 0.237000, 0.237000
427.842712, 170.771484, -173.583984, 33.761162, 0.243354, 0.243355
420.385681, 173.935547, 171.035156, 23.437500, 0.267196, 0.267196
418.206848, 163.388672, 177.890625, 83.705360, 0.494798, 0.494799
340.678070, 134.384766, 78.574219, 37.388393, 0.889359, 0.889357
344.055359, 127.968750, 90.527344, 33.761162, 0.922375, 0.922373
360.287170, 127.177734, 118.212891, 64.174110, 0.979269, 0.979269
307.465302, 117.773438, 40.166016, 6.696429, 0.998889, 0.998888
347.856354, 127.089844, 97.734375, 101.283485, 1.016496, 1.016494
352.599152, 129.726563, 102.919922, 84.263390, 1.057207, 1.057204
308.211212, 112.675781, 46.494141, 54.129463, 1.170256, 1.170258
308.636749, 112.675781, 47.197266, 148.716522, 1.185044, 1.185045
344.474152, 145.283203, 73.916016, 26.506697, 1.202542, 1.202545
337.611481, 115.751953, 92.109375, 279.854919, 1.238406, 1.238406
331.691132, 126.914063, 71.103516, 75.334824, 1.246799, 1.246798
338.151398, 119.179688, 89.560547, 50.223213, 1.278395, 1.278396
331.594727, 118.037109, 79.804688, 75.892860, 1.279812, 1.279813
329.487091, 142.294922, 52.031250, 25.111607, 1.303673, 1.303672
334.435303, 145.019531, 57.568359, 48.549107, 1.326145, 1.326147
306.923004, 117.246094, 39.726563, 36.830357, 1.446926, 1.446924
343.967133, 131.396484, 87.011719, 30.412947, 1.448326, 1.448328
335.345398, 133.857422, 70.224609, 81.473213, 1.468701, 1.468704
335.141876, 129.462891, 74.267578, 45.479912, 1.481332, 1.481333
315.332458, 122.343750, 48.603516, 45.479912, 1.492578, 1.492577
311.967712, 108.281250, 57.041016, 178.571426, 1.512962, 1.512962
302.441803, 116.367188, 33.222656, 37.946430, 1.528387, 1.528386
333.636810, 132.802734, 68.466797, 65.848213, 1.583867, 1.583867
294.906738, 114.521484, 22.587891, 83.984375, 1.600019, 1.600020
299.975586, 114.697266, 30.849609, 13.392858, 1.612638, 1.612640
303.659546, 111.708984, 39.902344, 26.785715, 1.790305, 1.790306
305.589386, 110.478516, 44.296875, 114.955360, 2.474329, 2.474328
301.428558, 110.390625, 37.529297, 47.712055, 2.531888, 2.531890
