"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)", "Time Ch. 1 (sec)", "Time Ch. 2 (sec)"
490.841400, -171.650391, -50.976563, 498.325897, 10.777584, 10.777586
457.815094, -165.410156, -114.345703, 237.165176, 10.826677, 10.826685
460.059509, -179.736328, -96.152344, 150.390625, 10.930859, 10.930858
507.308411, -157.148438, -37.001953, 258.091522, 11.134829, 11.134828
591.184204, -114.873047, 65.830078, 318.638397, 11.251561, 11.251562
464.128204, -159.433594, -109.423828, 223.214279, 11.342975, 11.342976
452.475311, 178.154297, -107.050781, 275.390625, 11.363824, 11.363816
536.846069, -154.335938, 11.250000, 386.160706, 11.381102, 11.381099
364.984711, 139.130859, 140.712891, 220.703125, 11.481239, 11.481240
476.044983, -169.189453, -79.013672, 329.520081, 11.610895, 11.610887
516.601501, -141.328125, -36.738281, 304.129456, 11.651869, 11.651864
376.090332, 159.345703, 139.746094, 109.933037, 11.754272, 11.754272
379.620056, 146.865234, 158.291016, 533.761169, 12.119779, 12.119780
363.101532, 150.029297, 126.562500, 562.778992, 12.281916, 12.281898
433.936523, -170.683594, -150.380859, 419.084808, 12.320618, 12.320619
390.130646, 161.982422, 161.367188, 220.703125, 12.362181, 12.362174
371.685272, 154.687500, 136.757813, 572.265625, 12.381619, 12.381630
368.697174, 148.095703, 138.164063, 532.087036, 12.441876, 12.441833
418.701477, 177.802734, -165.146484, 193.638397, 12.478180, 12.478181
388.393463, 155.390625, 164.970703, 530.412964, 12.711316, 12.711314
358.786621, 145.458984, 123.662109, 527.064758, 12.762591, 12.762561
365.447357, 153.808594, 126.826172, 530.971008, 12.764073, 12.764094
454.093323, -159.257813, -126.914063, 423.549103, 12.845981, 12.845981
368.167480, 152.226563, 133.154297, 547.991089, 12.848875, 12.848938
370.015869, 150.117188, 138.427734, 509.207581, 12.880154, 12.880192
376.926849, 159.609375, 140.888672, 195.870529, 12.888251, 12.888251
523.001892, -163.476563, -3.515625, 566.685242, 12.991899, 12.991897
413.537079, -177.890625, -178.417969, 156.250000, 13.072114, 13.072115
508.125122, -150.644531, -42.099609, 202.008926, 13.205387, 13.205388
365.893738, 146.513672, 134.912109, 87.053574, 13.251388, 13.251390
411.926941, 166.376953, -165.410156, 232.421875, 13.279719, 13.279720
392.097809, 169.013672, 157.763672, 91.796875, 13.475260, 13.475261
363.907013, 135.527344, 142.470703, 86.495537, 13.481996, 13.481996
369.130402, 149.150391, 137.900391, 549.665161, 13.500655, 13.500626
387.188599, 168.398438, 149.853516, 539.062500, 13.508903, 13.508903
366.650543, 148.535156, 134.208984, 538.225464, 13.531932, 13.531895
353.934387, 139.130859, 121.640625, 517.578125, 13.559489, 13.559493
362.589752, 150.820313, 124.892578, 427.734375, 13.565360, 13.565333
388.327667, 155.478516, 164.707031, 217.633926, 13.609159, 13.609157
359.319427, 133.242188, 136.757813, 450.334808, 13.704532, 13.704533
403.210724, 158.818359, -172.880859, 496.930817, 14.114598, 14.114601
379.378387, 157.324219, 147.392578, 539.062500, 14.197872, 14.197904
387.342255, 151.611328, 166.904297, 256.417419, 14.403251, 14.403248
392.903015, 161.015625, 167.167969, 265.345978, 14.884899, 14.884896
396.181763, 163.037109, 170.771484, 550.502258, 14.937730, 14.937712
379.064606, 150.292969, 153.896484, 568.638367, 15.294386, 15.294424
361.050079, 150.820313, 122.255859, 541.015625, 15.509922, 15.509897
382.931213, 154.335938, 156.533203, 636.997742, 15.572181, 15.572184
366.913940, 145.546875, 137.636719, 480.747772, 15.586671, 15.586661
381.084747, 149.589844, 158.115234, 599.609375, 15.810841, 15.810783
372.202545, 141.943359, 150.380859, 544.084839, 15.837655, 15.837611
441.909576, 175.078125, -122.255859, 235.212051, 16.178444, 16.178442
379.463287, 150.732422, 154.160156, 265.904022, 16.312239, 16.312223
398.361542, 160.136719, 177.451172, 491.071442, 16.708912, 16.708912
448.013916, 175.605469, -112.236328, 558.872742, 16.741999, 16.741970
377.945618, 158.203125, 144.052734, 563.616089, 16.816746, 16.816790
411.746826, 160.048828, -159.433594, 623.046875, 16.844213, 16.844236
404.193268, 162.685547, -175.078125, 540.457581, 16.878935, 16.878931
373.449371, 144.667969, 149.853516, 530.133911, 16.981733, 16.981710
388.758514, 155.654297, 165.322266, 546.596008, 17.001921, 17.001867
369.297455, 151.347656, 135.966797, 459.821442, 17.031622, 17.031590
397.589905, 162.773438, 173.496094, 556.919617, 17.074623, 17.074593
391.916992, 160.224609, 166.201172, 635.323669, 17.140970, 17.140947
364.614166, 148.974609, 130.253906, 516.462036, 17.152067, 17.152042
374.674774, 152.138672, 144.492188, 536.830383, 17.262163, 17.262146
397.939575, 153.544922, -176.748047, 657.645081, 17.485441, 17.485403
343.223389, 129.111328, 113.115234, 507.533478, 17.630590, 17.630592
378.142212, 154.511719, 148.095703, 554.129456, 17.689253, 17.689236
353.573395, 129.111328, 131.044922, 572.823669, 17.861300, 17.861301
506.277466, -156.972656, -38.935547, 525.669617, 17.900505, 17.900465
492.411316, -158.378906, -61.523438, 312.500000, 18.015732, 18.015732
373.822052, 147.392578, 147.744141, 624.721008, 18.182674, 18.182655
437.981171, 170.947266, -124.892578, 511.439728, 18.186977, 18.186964
376.466614, 150.820313, 148.886719, 257.812500, 18.425911, 18.425905
390.073151, 152.666016, 170.595703, 255.022324, 18.724932, 18.724928
534.734070, -133.066406, -13.623047, 258.370544, 18.998631, 18.998631
475.494354, -164.707031, -84.462891, 197.265625, 19.019384, 19.019386
496.796112, -166.201172, -46.142578, 240.792404, 19.193588, 19.193588
507.920868, -141.943359, -51.152344, 307.756683, 19.380447, 19.380445
348.741699, 128.232422, 123.574219, 472.377228, 19.486156, 19.486156
503.727844, -160.751953, -39.550781, 237.444199, 19.557394, 19.557394
551.558655, -147.832031, 30.234375, 450.892853, 19.641493, 19.641491
481.626556, -162.861328, -75.673828, 404.296875, 19.667496, 19.667501
540.475708, -146.601563, 9.843750, 468.470978, 19.673481, 19.673477
401.484924, 168.486328, 174.462891, 245.256699, 19.747744, 19.747742
553.058289, -143.701172, 28.652344, 514.229919, 19.763548, 19.763544
422.437042, 169.892578, -150.732422, 212.890625, 19.883961, 19.883961
347.256561, 125.419922, 123.750000, 461.216522, 19.942738, 19.942736
361.026184, 148.447266, 124.628906, 126.953125, 20.125662, 20.125662
359.132080, 144.316406, 125.419922, 227.678574, 20.156158, 20.156157
418.281311, 169.101563, -157.148438, 226.562500, 20.252214, 20.252216
393.992310, 169.277344, 160.664063, 135.881699, 20.268555, 20.268555
485.597656, -155.830078, -75.849609, 253.069199, 20.270901, 20.270901
518.091248, -155.039063, -20.478516, 431.640625, 20.326006, 20.326004
499.472382, -164.707031, -42.978516, 372.488831, 20.469553, 20.469559
407.180695, 157.587891, -164.882813, 199.218750, 20.478403, 20.478403
464.963440, -179.648438, -87.714844, 255.301346, 20.486666, 20.486666
384.431915, 161.367188, 152.138672, 147.321426, 20.508146, 20.508148
412.075562, 164.707031, -163.476563, 393.415192, 20.563297, 20.563326
475.748199, -174.990234, -73.740234, 263.671875, 20.704666, 20.704662
417.510162, 174.550781, -163.916016, 230.189728, 20.792423, 20.792421
406.771210, -178.330078, 170.419922, 121.651787, 20.947056, 20.947058
428.044617, 171.123047, -142.294922, 219.308029, 21.290956, 21.290955
490.586609, -160.048828, -63.017578, 287.388397, 21.480738, 21.480742
400.456360, 170.332031, 170.859375, 349.330353, 21.515640, 21.515617
370.165924, 146.601563, 142.207031, 521.205383, 21.640577, 21.640514
357.904297, 145.898438, 121.728516, 545.758911, 21.834806, 21.834768
381.243408, 165.146484, 142.822266, 506.417419, 21.956051, 21.956079
367.673370, 150.117188, 134.384766, 87.053574, 22.111464, 22.111464
516.713623, -151.875000, -26.015625, 217.633926, 22.203939, 22.203938
398.377289, 165.322266, 172.265625, 242.187500, 22.603895, 22.603895
418.938843, 169.189453, -156.093750, 509.207581, 22.840986, 22.840948
390.315765, 162.597656, 161.103516, 623.883911, 22.920841, 22.920845
402.427094, 166.201172, 178.417969, 630.580383, 23.366526, 23.366526
420.410156, -172.617188, -171.826172, 162.667404, 23.433550, 23.433548
388.147247, 159.169922, 160.751953, 215.680801, 23.496126, 23.496124
356.893402, 131.220703, 134.648438, 570.033508, 23.549500, 23.549498
398.545441, 170.332031, 167.607422, 170.758926, 23.676130, 23.676130
400.936035, 155.566406, -173.583984, 200.055801, 23.801035, 23.801035
410.750183, 170.859375, -171.914063, 212.332596, 23.872396, 23.872396
509.527283, -151.611328, -38.671875, 407.087067, 24.060232, 24.060236
438.140320, 175.166016, -128.847656, 540.457581, 24.106689, 24.106680
367.512787, 139.658203, 144.580078, 515.903992, 24.185701, 24.185703
389.883240, 156.093750, 166.816406, 155.412949, 24.453861, 24.453859
389.824280, 154.160156, 168.662109, 508.370544, 24.744772, 24.744770
433.467072, 176.132813, -137.900391, 274.274567, 24.823431, 24.823425
324.771332, 125.947266, 84.375000, 401.227692, 24.985445, 24.985443
379.718811, 151.259766, 154.072266, 567.522339, 25.034039, 25.034006
398.360809, 160.400391, 177.187500, 419.084808, 25.067312, 25.067320
345.753387, 129.990234, 116.630859, 438.616058, 25.187765, 25.187767
359.241364, 139.306641, 130.605469, 536.272339, 25.433659, 25.433662
