"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)"
382.250946, -175.341797, -170.771484, 34.877232
355.830200, 158.554688, 165.322266, 31.808035
Fillin, -171.035156, -176.748047, 41.573662
406.022186, -169.453125, -131.572266, 55.803570
390.092285, 173.583984, -144.755859, 75.613838
390.049805, -171.914063, -159.433594, 46.595982
380.234070, -179.648438, -170.332031, 45.758930
379.446503, 163.828125, -155.214844, 64.174110
346.107147, 141.503906, 163.828125, 83.984375
372.260071, 176.044922, 179.033203, 84.821426
357.284149, 157.236328, 169.365234, 107.700890
Fillin, -141.767578, -123.662109, 130.022324
365.192566, 176.835938, 164.794922, 32.645088
387.759521, -177.539063, -158.115234, 26.227678
397.787628, 177.363281, -133.945313, 27.064732
336.364227, 131.572266, 155.302734, 37.667412
346.989746, 146.074219, 161.015625, 122.209824
336.671021, 166.289063, 121.201172, 17.578125
308.189941, 138.867188, 94.570313, 28.459822
301.404388, 136.582031, 84.023438, 36.272320
363.198914, 172.529297, 165.322266, 39.899555
355.435333, 157.939453, 165.146484, 51.618305
338.101013, 152.490234, 137.724609, 48.828125
Fillin, -175.429688, 135.087891, 59.709820
283.733490, 108.984375, 78.046875, 70.870537
322.416779, 123.837891, 136.582031, 145.647324
343.020538, 137.988281, 161.542969, 162.667404
358.536896, 161.718750, 167.255859, 23.716518
379.330627, 180.000000, -171.650391, 29.854910
355.742340, 164.794922, 158.906250, 25.390625
362.297028, 162.421875, 173.583984, 34.040180
373.925995, 157.763672, -159.697266, 72.265625
286.356628, 133.417969, 58.623047, 25.390625
283.634308, 134.472656, 52.382813, 34.598213
349.054901, 165.673828, 145.371094, 46.037945
Fillin, 111.621094, 97.998047, 50.223213
365.278229, 169.804688, 172.001953, 53.850445
316.627228, 150.292969, 99.140625, 34.319195
309.312653, 140.800781, 94.746094, 44.084820
320.585785, 147.216797, 109.775391, 64.732140
292.519348, 120.585938, 83.144531, 81.194199
348.807922, 161.455078, 149.062500, 90.680801
337.500610, 159.609375, 129.462891, 116.350449
Fillin, -175.957031, 126.474609, 142.578125
320.483765, 126.914063, 129.902344, 33.482143
283.541534, 114.082031, 72.509766, 39.062500
321.251007, 150.908203, 107.314453, 49.107143
324.428894, 156.005859, 108.281250, 59.151787
314.712280, 136.318359, 109.511719, 75.334824
322.772308, 129.550781, 131.572266, 90.401787
Fillin, -165.761719, 151.611328, 143.973221
295.089722, 113.203125, 95.361328, 8.370536
335.302979, 153.808594, 131.132813, 36.830357
321.600708, 152.578125, 106.259766, 38.504463
332.876648, 136.582031, 143.701172, 41.015625
359.023560, 157.500000, 172.441406, 51.060268
342.464264, 152.138672, 146.337891, 54.966518
361.450165, 170.332031, 164.179688, 78.404015
355.656250, 145.283203, 178.242188, 94.866074
365.533569, 176.484375, 165.761719, 89.285713
295.814240, 134.208984, 75.761719, 34.877232
317.677734, 135.351563, 116.103516, 38.225445
291.229614, 119.267578, 82.001953, 30.970982
339.160431, 163.476563, 128.759766, 41.852680
Fillin, 115.048828, 135.175781, 89.843750
Fillin, 130.078125, 170.332031, 119.140625
332.233185, 127.529297, 151.523438, 137.834824
Fillin, -164.619141, -154.423828, 122.209824
Fillin, 47.548828, 12.568359, 222.098221
329.346008, 161.103516, 112.500000, 34.319195
326.902435, 145.546875, 123.398438, 44.921875
328.882172, 157.412109, 115.312500, 42.689732
325.658417, 148.974609, 117.597656, 46.595982
337.884888, 158.730469, 131.044922, 51.060268
344.908264, 164.882813, 138.251953, 75.892860
308.006592, 120.761719, 112.324219, 95.424110
338.807526, 147.304688, 144.228516, 99.609375
328.061066, 146.953125, 124.189453, 143.694199
309.495972, 126.386719, 109.511719, 126.116074
Fillin, 88.417969, 70.400391, 15.345983
398.314178, 177.802734, -133.505859, 29.017857
Fillin, -132.099609, 166.025391, 86.495537
262.016357, 119.091797, 26.718750, 20.368303
357.534576, 165.761719, 161.367188, 33.203125
337.317505, 146.865234, 141.855469, 45.758930
328.007782, 143.085938, 127.968750, 92.633926
Fillin, -156.357422, -147.304688, 69.196426
362.310181, 161.367188, 174.814453, 132.812500
269.834106, 124.541016, 36.123047, 0.000000
284.041595, 107.753906, 79.892578, 27.622768
305.663483, 130.957031, 97.734375, 26.785715
342.180267, 158.115234, 139.833984, 34.598213
340.308167, 155.302734, 139.130859, 30.970982
331.887604, 144.667969, 133.769531, 37.388393
368.166229, 165.673828, -178.505859, 69.196426
345.556702, 145.722656, 158.642578, 82.310265
333.470490, 136.933594, 144.492188, 87.332588
338.349152, 148.183594, 142.470703, 97.377235
359.046387, 151.699219, 178.242188, 110.491074
335.491058, 147.480469, 137.812500, 135.044647
Fillin, -168.837891, 112.851563, 0.000000
282.632874, 129.287109, 55.722656, 27.343750
Fillin, 117.949219, 122.958984, 41.294643
340.075897, 149.326172, 144.667969, 39.620537
Fillin, 179.296875, 160.488281, 59.988838
344.776062, 152.666016, 150.205078, 71.428574
363.032593, 172.089844, 165.410156, 107.142860
266.559387, 136.318359, 18.193359, 13.950892
283.284912, 114.960938, 71.191406, 28.180803
305.005310, 144.667969, 82.705078, 25.390625
334.519470, 157.675781, 125.771484, 41.573662
319.157318, 148.974609, 105.292969, 45.758930
307.995911, 128.056641, 105.029297, 49.665180
338.998474, 153.017578, 138.867188, 68.638390
