"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)"
263.188385, 122.607422, 25.488281, 178.571426
397.949951, -179.384766, -136.933594, 32.924107
370.374451, 170.419922, -179.033203, 45.758930
339.587982, 131.748047, 161.279297, 63.337055
Fillin, 120.234375, 146.601563, 80.078125
368.514557, 144.140625, -156.269531, 122.209824
350.679565, 154.423828, 159.609375, 150.669647
378.042145, 170.683594, -164.707031, 33.482143
388.421051, -176.660156, -157.763672, 38.783482
401.601105, -166.640625, -142.822266, 48.828125
354.915375, 153.017578, 169.101563, 90.401787
370.586823, 172.880859, 178.945313, 123.604912
366.351105, 147.480469, -163.740234, 40.736607
344.098480, 164.970703, 136.582031, 57.198662
358.351410, 158.027344, 170.595703, 55.245537
349.867126, 145.107422, 167.431641, 91.517860
322.514496, 134.033203, 126.738281, 14.508928
348.553680, 144.228516, 165.849609, 29.296875
329.283997, 131.044922, 142.470703, 35.435268
345.073547, 152.841797, 150.556641, 37.946430
323.339661, 128.847656, 133.330078, 41.294643
422.224152, -164.794922, -105.468750, 41.294643
387.596313, 167.958984, -143.876953, 35.714287
370.796112, 152.666016, -160.488281, 48.549107
Fillin, 126.210938, -144.492188, 68.359375
363.714752, 158.818359, 180.000000, 36.551338
334.213348, 137.460938, 145.371094, 29.296875
355.758179, 149.853516, 173.935547, 40.736607
Fillin, -171.210938, -171.035156, 38.225445
381.778503, 169.277344, -156.269531, 48.828125
380.002045, -178.593750, -171.826172, 53.571430
362.376892, 160.136719, 176.220703, 63.058037
327.131134, 154.160156, 115.312500, 1.953125
364.371613, 157.236328, -177.275391, 41.294643
360.072601, 155.126953, 176.748047, 37.946430
339.335693, 141.064453, 151.523438, 54.687500
346.398499, 133.769531, 172.177734, 59.430805
331.758453, 150.380859, 127.792969, 76.729912
326.265533, 139.130859, 128.583984, 26.506697
337.124634, 143.525391, 144.843750, 34.877232
329.967957, 143.613281, 131.132813, 40.457588
349.510956, 161.015625, 150.820313, 47.712055
364.413544, 148.007813, -167.958984, 38.504463
380.064667, -179.121094, -171.210938, 44.363838
353.530182, 143.525391, 175.957031, 45.479912
373.621765, 170.419922, -172.880859, 58.593750
353.565826, 156.181641, 163.388672, 66.964287
Fillin, 113.115234, 146.337891, 79.799110
334.967926, 129.287109, 154.951172, 113.560265
391.314484, 178.681641, -147.656250, 20.647322
410.939178, 179.296875, -110.917969, 26.227678
378.659302, 174.111328, -166.992188, 69.196426
379.611145, 164.794922, -155.917969, 72.823662
315.289642, 140.273438, 106.611328, 154.017853
364.920471, 152.490234, -171.474609, 50.502232
392.964447, 179.824219, -145.546875, 68.917412
Fillin, -159.257813, -124.628906, 87.890625
380.997864, 166.728516, -155.214844, 33.761162
376.200836, 176.660156, -174.287109, 44.084820
386.578339, -177.539063, -160.400391, 41.294643
407.322571, -165.673828, -132.890625, 55.803570
374.683563, 173.320313, -173.759766, 72.265625
401.750732, 177.978516, -127.001953, 27.064732
Fillin, 126.298828, 179.296875, 29.575893
342.474945, 137.373047, 161.103516, 88.448662
424.087128, -162.773438, -103.974609, 125.279015
380.058960, 165.322266, -155.390625, 77.287949
250.193985, 100.195313, 23.115234, 0.000000
259.507141, 128.320313, 12.744141, 18.973215
257.794647, 130.957031, 6.855469, 17.020090
248.280487, 106.347656, 13.447266, 25.111607
240.730194, 94.746094, 10.722656, 69.196426
369.348083, 156.708984, -167.255859, 24.553572
370.773987, 177.714844, 174.550781, 34.319195
363.905884, 172.353516, 166.816406, 94.029015
Fillin, -176.660156, 143.437500, 12.555803
368.722260, 162.333984, -174.111328, 47.154018
369.688599, 155.214844, -165.146484, 50.502232
409.932953, -177.890625, -115.751953, 40.736607
405.944580, -171.210938, -129.990234, 50.781250
374.477020, 160.927734, -161.806641, 80.078125
Fillin, -151.875000, -134.560547, 6.417411
390.887817, -178.857422, -150.820313, 31.250000
367.446686, 169.804688, 176.132813, 27.622768
382.993713, 160.312500, -145.019531, 48.270088
400.744507, -168.398438, -142.646484, 54.408482
373.059601, 164.267578, -167.783203, 61.662945
Fillin, -159.785156, -163.300781, 184.988846
211.534134, 95.976563, -45.966797, 0.000000
Fillin, 97.734375, 45.527344, 11.160714
242.700821, 96.240234, 12.919922, 12.834822
242.372879, 111.621094, -3.076172, 38.504463
261.870880, 129.462891, 16.083984, 47.712055
368.176819, 161.806641, -174.550781, 54.408482
372.727814, 177.451172, 178.505859, 54.408482
335.433929, 137.373047, 147.744141, 160.156250
415.444580, -166.289063, -116.894531, 42.968750
371.973297, 168.750000, -174.462891, 31.808035
368.231567, 168.837891, 178.505859, 50.223213
367.435425, 166.992188, 178.857422, 54.966518
355.590759, 155.390625, 168.046875, 72.265625
366.915497, 168.925781, 175.957031, 98.493301
Fillin, -164.003906, -177.802734, 104.073662
Fillin, -162.949219, -135.703125, 34.598213
377.998230, 171.474609, -165.585938, 58.593750
377.496124, 176.660156, -171.738281, 55.524555
380.107605, 173.935547, -164.091797, 73.381699
369.306305, 165.761719, -176.396484, 90.122765
363.342010, 165.673828, 172.441406, 114.955360
397.090454, 177.714844, -135.615234, 53.013393
386.383972, -177.802734, -160.576172, 58.314732
383.614624, -177.011719, -166.552734, 67.801338
372.363312, 165.234375, -170.068359, 79.799110
331.154144, 140.273438, 136.757813, 119.419640
280.587616, 134.384766, 46.582031, 311.383942
368.675354, 171.386719, 176.835938, 49.944195
365.339355, 167.255859, 174.638672, 63.337055
348.758118, 149.414063, 161.015625, 70.591515
352.937195, 149.238281, 169.101563, 82.310265
380.831757, 154.160156, -142.998047, 48.270088
369.084808, 175.781250, 173.232422, 68.917412
358.436646, 164.443359, 164.355469, 63.895088
404.720032, -170.156250, -133.330078, 22.042410
Fillin, 100.019531, 146.250000, 41.294643
350.921997, 147.304688, 167.255859, 51.618305
362.750458, 143.789063, -166.904297, 67.801338
357.090790, 159.082031, 167.167969, 80.078125
366.649109, 165.937500, 178.417969, 97.656250
353.622375, 155.654297, 164.003906, 116.908485
482.016296, -151.699219, -5.009766, 27.064732
347.644531, 147.041016, 161.279297, 37.388393
368.305542, 153.544922, -166.025391, 64.174110
363.942322, 155.302734, -176.132813, 78.683037
355.054993, 153.193359, 169.189453, 76.450890
Fillin, 123.574219, 164.443359, 97.377235
372.382477, 160.488281, -165.322266, 41.573662
368.173981, 161.806641, -174.550781, 61.941963
360.207184, 159.609375, 172.529297, 74.497765
Fillin, 118.212891, 139.921875, 130.580353
374.948639, 163.652344, -163.564453, 48.828125
338.418762, 137.021484, 153.720703, 47.154018
345.244232, 151.083984, 152.666016, 67.801338
350.202454, 152.666016, 160.488281, 90.401787
329.124420, 139.570313, 133.593750, 104.910713
313.213409, 123.310547, 119.619141, 123.325890
386.958679, -177.802734, -159.433594, 75.334824
Fillin, -157.236328, -149.501953, 73.381699
374.500549, 179.296875, 180.000000, 97.377235
402.131012, -171.123047, -137.285156, 21.205357
394.216461, -175.605469, -147.832031, 51.897320
382.641602, 174.111328, -159.433594, 70.870537
362.781860, 157.324219, 179.736328, 104.910713
Fillin, -162.158203, -172.265625, 125.837051
Fillin, -171.123047, -169.101563, 140.904022
388.228882, 179.033203, -153.720703, 193.917404
364.579315, 145.546875, -165.234375, 48.549107
Fillin, 179.736328, 152.929688, 66.685265
Fillin, 122.871094, 136.230469, 67.801338
Fillin, 103.447266, 110.742188, 103.515625
346.688812, 152.578125, 153.896484, 155.691971
335.974304, 139.482422, 146.689453, 196.149551
298.897552, 125.947266, 89.912109, 71.986610
381.743164, -178.242188, -168.837891, 39.062500
364.357971, 163.300781, 176.748047, 50.223213
334.790924, 145.019531, 138.867188, 58.593750
341.488342, 143.525391, 153.105469, 86.216515
Fillin, -174.287109, 169.453125, 89.843750
Fillin, 91.845703, 76.552734, 306.640625
359.232758, 157.587891, 172.705078, 34.598213
362.503937, 157.939453, 178.593750, 44.363838
349.184967, 151.611328, 159.609375, 50.502232
347.895508, 152.402344, 156.357422, 71.428574
362.767456, 158.554688, 178.505859, 90.959824
Fillin, -164.882813, -145.195313, 102.957588
404.542389, -167.695313, -136.142578, 128.069199
Fillin, 83.232422, 45.878906, 182.198654
394.086975, 172.529297, -136.142578, 42.410713
344.631653, 134.648438, 167.958984, 56.640625
376.897278, 159.521484, -155.742188, 76.171875
353.715240, 153.896484, 165.937500, 103.236610
319.162598, 125.156250, 129.023438, 271.484375
362.553070, 165.761719, 170.859375, 69.475449
393.030090, -173.935547, -151.787109, 65.011162
381.355347, 171.650391, -159.433594, 68.638390
355.117859, 158.203125, 164.267578, 88.169640
Fillin, -171.210938, -169.453125, 114.397324
387.344116, 167.958984, -144.404297, 33.761162
382.462830, 159.873047, -145.546875, 39.341518
392.084534, -172.265625, -155.214844, 67.522324
347.513397, 136.230469, 171.826172, 88.169640
332.685699, 146.513672, 133.417969, 110.770088
296.859375, 118.388672, 93.515625, 208.984375
356.848083, 153.369141, 172.441406, 34.040180
373.288788, 164.531250, -167.607422, 55.245537
365.993378, 146.689453, -163.652344, 69.754463
378.183716, 158.642578, -152.402344, 80.636162
342.061127, 138.076172, 159.609375, 170.200897
343.628326, 147.919922, 152.753906, 47.433037
381.704559, 159.697266, -146.777344, 36.830357
383.358551, 170.156250, -154.160156, 45.758930
378.086090, 175.078125, -169.013672, 46.316963
Fillin, -158.378906, -126.386719, 58.035713
393.019043, 170.859375, -136.494141, 91.517860
Fillin, 169.013672, 119.091797, 68.080360
Fillin, -170.068359, 146.777344, 80.357140
Fillin, 152.841797, 65.917969, 88.727676
364.379761, 159.873047, -179.736328, 10.323661
344.031921, 152.402344, 149.062500, 76.450890
255.493790, 104.677734, 28.740234, 35.714287
252.289536, 114.433594, 12.919922, 46.316963
272.207001, 129.814453, 35.332031, 63.337055
259.513855, 106.347656, 34.716797, 85.658485
263.621155, 103.886719, 45.000000, 85.658485
267.827393, 122.167969, 34.716797, 127.790176
387.305786, -178.945313, -157.675781, 38.225445
381.985077, 177.626953, -164.179688, 46.875000
349.303253, 149.062500, 162.421875, 71.986610
344.408325, 152.402344, 149.765625, 79.520088
352.691681, 150.820313, 167.080078, 95.982140
289.219299, 116.015625, 81.386719, 259.765625
401.103516, -169.628906, -140.712891, 46.875000
Fillin, -161.455078, -149.941406, 66.127235
368.928345, 166.464844, -177.802734, 75.892860
387.642365, -175.341797, -160.576172, 103.236610
Fillin, 96.591797, 93.076172, 208.984375
Fillin, 144.492188, -95.976563, 62.500000
Fillin, -81.123047, -9.404297, 73.381699
376.859650, 162.861328, -159.169922, 38.504463
358.045319, 143.964844, -175.957031, 57.477680
368.319031, 154.335938, -166.816406, 52.734375
349.177795, 147.919922, 163.300781, 98.493301
346.991699, 145.107422, 161.982422, 119.140625
Fillin, 140.976563, -130.341797, 25.669643
399.683350, -170.859375, -142.207031, 42.410713
374.770782, 169.365234, -169.628906, 51.897320
370.648010, 168.662109, -176.748047, 69.196426
389.232727, 178.681641, -151.523438, 74.497765
374.458527, 152.929688, -153.808594, 104.073662
Fillin, 130.693359, 166.464844, 125.279015
346.961700, 142.207031, 164.794922, 71.986610
366.999573, 163.300781, -178.330078, 77.008926
358.529510, 170.771484, 158.203125, 80.636162
Fillin, -172.529297, 147.041016, 127.232140
339.606720, 138.691406, 154.335938, 0.000000
380.149780, 173.759766, -163.828125, 38.783482
Fillin, -169.365234, -176.308594, 46.037945
401.060242, -168.222656, -142.207031, 58.314732
388.259949, -179.121094, -155.654297, 81.473213
336.632751, 141.328125, 146.074219, 141.462051
367.466003, 165.234375, -179.384766, 46.595982
377.082825, 174.550781, -170.507813, 48.549107
365.380096, 159.433594, -177.451172, 61.941963
360.271576, 155.039063, 177.187500, 83.147324
348.904236, 142.910156, 167.783203, 92.354912
364.409943, 161.103516, 179.033203, 23.158482
Fillin, -156.533203, -175.781250, 64.453125
322.721191, 159.082031, 101.953125, 17.020090
348.799866, 146.162109, 164.355469, 40.178570
336.108887, 134.560547, 151.875000, 70.870537
Fillin, 107.841797, 97.382813, 17.299107
359.449524, 161.455078, 169.277344, 27.343750
338.653564, 156.884766, 134.384766, 35.993305
327.123169, 143.349609, 126.035156, 37.946430
Fillin, 116.542969, 142.031250, 44.363838
316.426910, 130.429688, 118.652344, 47.712055
Fillin, -150.117188, -113.994141, 22.042410
386.541687, 171.474609, -149.414063, 75.334824
367.470856, 167.695313, 178.242188, 78.404015
374.170349, 178.066406, -179.472656, 95.703125
333.837982, 136.318359, 145.810547, 123.325890
Fillin, 121.552734, 138.515625, 145.368301
368.082153, 170.419922, 176.660156, 44.921875
370.291473, 180.000000, 171.298828, 44.084820
362.466309, 166.904297, 169.541016, 47.712055
345.960724, 145.019531, 160.136719, 117.187500
Fillin, 68.730469, 55.634766, 325.055817
354.338654, 150.820313, 170.244141, 34.319195
355.262909, 152.666016, 170.068359, 41.015625
352.415497, 161.982422, 155.390625, 56.640625
361.609955, 164.882813, 169.980469, 70.591515
355.827576, 151.699219, 172.177734, 77.008926
348.302338, 156.796875, 152.753906, 94.029015
372.886322, 174.726563, -178.593750, 118.303574
Fillin, -168.134766, -177.714844, 55.524555
Fillin, -163.300781, -144.580078, 69.754463
383.121979, 173.408203, -157.851563, 74.497765
391.896210, -179.472656, -148.359375, 96.540176
346.278839, 146.337891, 159.433594, 118.582588
348.808777, 154.248047, 156.269531, 136.160721
Fillin, 66.005859, 35.771484, 312.779022
373.324432, 155.830078, -158.818359, 34.598213
357.841492, 153.720703, 173.935547, 44.642857
364.963806, 160.839844, -179.824219, 47.712055
366.585144, 164.619141, 179.648438, 53.292412
Fillin, 80.332031, 55.371094, 305.524567
400.060333, 175.341797, -127.705078, 19.531250
359.929626, 153.984375, 177.714844, 36.830357
368.507782, 156.884766, -169.013672, 71.707588
370.238770, 168.662109, -177.539063, 71.428574
399.876007, -167.871094, -144.843750, 100.725449
Fillin, 69.257813, 26.542969, 282.645081
384.048553, 177.451172, -160.136719, 54.129463
398.028290, -175.253906, -140.976563, 60.825893
366.543640, 168.134766, 176.044922, 77.287949
360.740997, 154.511719, 178.681641, 86.495537
333.766479, 144.492188, 137.460938, 102.399551
356.391235, 153.369141, 171.562500, 39.341518
352.496613, 158.994141, 158.554688, 59.151787
345.798309, 147.744141, 157.060547, 89.006699
333.929749, 140.625000, 141.679688, 87.890625
331.280701, 137.724609, 139.570313, 146.484375
332.364746, 152.138672, 127.177734, 156.250000
295.543518, 118.125000, 91.318359, 210.100449
373.044586, 169.453125, -172.968750, 29.296875
349.673798, 155.390625, 156.796875, 68.080360
303.157135, 126.650391, 97.207031, 91.238838
269.893951, 128.056641, 32.695313, 0.000000
312.752747, 154.775391, 87.363281, 8.091517
262.987732, 104.150391, 43.505859, 9.765625
270.838074, 121.201172, 41.396484, 15.345983
277.784271, 135.966797, 39.814453, 19.252232
265.473663, 129.199219, 23.203125, 43.247768
270.131348, 128.056641, 33.222656, 54.687500
251.211807, 107.753906, 17.578125, 79.520088
349.031891, 147.656250, 163.300781, 88.448662
387.582031, 170.507813, -146.513672, 31.529018
406.448486, 179.033203, -119.179688, 35.993305
382.967773, 172.089844, -156.796875, 36.830357
372.548798, 155.390625, -159.873047, 52.176338
318.597992, 126.298828, 126.914063, 48.549107
334.315765, 130.253906, 152.753906, 77.008926
418.563141, -169.541016, -107.753906, 35.435268
387.491730, 171.650391, -147.744141, 38.504463
389.316772, -175.253906, -157.500000, 42.968750
Fillin, 126.474609, 148.974609, 50.502232
367.920685, 159.873047, -173.144531, 63.337055
361.829407, 163.388672, 171.826172, 83.984375
369.819946, 157.324219, -166.992188, 101.841515
Fillin, -137.197266, -95.097656, 181.361603
328.281128, 148.095703, 123.486328, 196.986603
361.531036, 159.785156, 174.902344, 44.921875
352.267609, 153.720703, 163.388672, 47.154018
345.970734, 157.060547, 148.095703, 66.406250
372.573853, 166.728516, -171.210938, 52.734375
363.478943, 157.939453, -179.648438, 66.127235
357.085358, 162.949219, 163.300781, 74.497765
353.733948, 149.765625, 170.068359, 86.495537
331.340088, 142.031250, 135.351563, 108.816963
328.257874, 137.285156, 134.208984, 133.091522
56.057377, 49.306641, 65.742188, 285.435272
339.771301, 132.099609, 161.279297, 105.189735
343.555725, 135.263672, 165.234375, 38.225445
349.600525, 146.601563, 165.410156, 37.109375
353.984222, 158.291016, 162.070313, 68.917412
Fillin, -171.035156, -165.673828, 77.566963
378.144135, 171.035156, -164.882813, 95.145088
Fillin, -168.486328, -169.541016, 113.281250
395.853729, -170.156250, -150.205078, 139.787949
Fillin, 88.857422, 40.781250, 296.316956
352.365265, 140.800781, 176.484375, 46.316963
360.189545, 159.433594, 172.705078, 63.895088
379.274506, 171.210938, -162.949219, 70.591515
Fillin, 90.000000, 118.828125, 125.279015
329.000000, 148.623047, 124.365234, 15.066964
343.493286, 146.162109, 154.248047, 60.825893
343.072937, 144.580078, 155.039063, 67.522324
336.675171, 142.470703, 145.019531, 86.774551
341.224945, 148.095703, 148.095703, 106.026787
Fillin, -156.884766, -164.267578, 1.116071
Fillin, -179.912109, 149.238281, 34.319195
353.586090, 154.072266, 165.498047, 71.428574
Fillin, 81.298828, 88.066406, 200.892853
348.589752, 150.644531, 159.521484, 30.412947
418.800171, 175.253906, -92.197266, 24.553572
370.792847, 170.244141, -178.066406, 40.457588
364.182281, 160.048828, 179.648438, 55.524555
345.963989, 146.777344, 158.378906, 63.058037
341.850372, 145.546875, 151.787109, 99.051338
355.484924, 165.849609, 157.324219, 102.399551
Fillin, 118.564453, 133.242188, 121.930801
Fillin, 120.937500, 157.763672, 13.950892
388.798828, -172.617188, -161.191406, 30.970982
362.932251, 157.148438, -179.912109, 27.901785
374.944794, 170.156250, -170.156250, 37.388393
364.058777, 159.873047, 179.560547, 38.783482
365.903229, 164.267578, 178.681641, 51.339287
371.995605, 165.146484, -170.683594, 85.937500
364.208679, 150.556641, -170.859375, 59.988838
370.858337, 171.474609, -179.208984, 62.779018
380.311646, -178.945313, -170.859375, 70.033485
391.949493, -172.705078, -155.039063, 86.216515
353.025696, 149.677734, 168.837891, 112.165176
330.604645, 142.294922, 133.681641, 155.691971
361.793976, 175.957031, 159.169922, 20.368303
361.708313, 166.728516, 168.222656, 25.669643
400.062225, -170.947266, -141.503906, 34.319195
348.423004, 150.556641, 159.257813, 36.551338
Fillin, 123.750000, 177.451172, 47.991070
329.150116, 150.292969, 122.871094, 49.107143
358.674988, 174.462891, 154.775391, 30.412947
358.764771, 167.871094, 161.542969, 44.921875
331.533630, 147.041016, 130.693359, 46.037945
Fillin, 94.218750, 60.556641, 217.912949
412.673981, -163.476563, -124.980469, 51.897320
359.512207, 163.652344, 167.167969, 49.386162
368.026245, 169.628906, 177.363281, 53.571430
375.891541, 167.167969, -165.322266, 65.569199
342.085663, 137.548828, 160.224609, 97.656250
346.964996, 150.996094, 156.005859, 117.745537
Fillin, -174.726563, 159.960938, 178.013397
Fillin, -136.494141, -134.121094, 34.319195
Fillin, -143.701172, -131.396484, 55.803570
378.344666, 172.177734, -165.673828, 56.082588
358.053558, 157.939453, 170.068359, 51.618305
351.694580, 153.105469, 162.949219, 70.591515
352.125824, 152.314453, 164.531250, 62.220982
326.750671, 132.099609, 136.582031, 102.678574
362.937042, 155.390625, -178.154297, 170.758926
327.236267, 129.726563, 139.833984, 68.359375
350.902222, 162.685547, 151.787109, 76.450890
363.571442, 160.312500, 178.242188, 91.238838
Fillin, -162.246094, 177.978516, 99.609375
357.657959, 172.177734, 155.126953, 127.232140
Fillin, 74.003906, 56.074219, 294.921875
364.444366, 166.201172, 173.935547, 62.500000
359.783569, 157.939453, 173.408203, 65.848213
343.343445, 145.283203, 154.863281, 85.658485
347.508606, 144.580078, 163.476563, 97.098213
314.250854, 121.728516, 123.222656, 119.140625
330.886475, 135.263672, 141.240234, 132.254471
339.829590, 135.087891, 158.378906, 186.662949
400.112396, -178.066406, -134.208984, 30.691965
376.651581, 171.298828, -168.046875, 31.529018
369.597290, 158.730469, -168.837891, 44.363838
344.657562, 142.910156, 159.697266, 74.218750
341.527466, 152.490234, 144.228516, 87.053574
Fillin, -178.769531, 130.869141, 107.979912
393.726868, 169.277344, -133.593750, 30.691965
374.121002, 146.777344, -148.271484, 54.687500
391.910004, 173.847656, -141.591797, 74.776787
336.466858, 134.648438, 152.402344, 119.698662
365.185242, 173.232422, 168.310547, 37.109375
378.219879, 172.529297, -166.289063, 50.223213
355.794556, 162.158203, 161.630859, 81.194199
348.488037, 150.292969, 159.609375, 101.562500
Fillin, -157.851563, -166.289063, 148.995529
327.720520, 138.603516, 131.923828, 164.899551
309.756256, 124.716797, 111.708984, 174.665176
297.674591, 114.960938, 98.525391, 214.843750
403.082275, 172.089844, -118.652344, 33.482143
343.948639, 144.580078, 156.708984, 44.084820
343.614166, 154.687500, 145.986328, 55.803570
328.716492, 138.515625, 133.857422, 99.051338
339.065857, 136.230469, 155.830078, 111.049110
335.827942, 146.425781, 139.482422, 119.419640
333.546570, 146.074219, 135.527344, 157.645096
352.772339, 143.876953, 174.199219, 61.941963
349.088654, 157.675781, 153.369141, 62.220982
355.198303, 155.917969, 166.728516, 95.982140
335.556976, 144.140625, 141.240234, 101.562500
337.641083, 134.208984, 155.126953, 112.165176
344.903442, 153.984375, 149.150391, 140.066971
307.225281, 117.685547, 113.906250, 186.662949
Fillin, 94.658203, 66.269531, 325.892853
367.353760, 157.763672, -172.089844, 54.408482
Fillin, -172.441406, 27.509766, 77.845985
298.974548, 136.494141, 79.453125, 100.725449
403.327271, -167.958984, -138.251953, 35.435268
354.327820, 161.718750, 159.257813, 27.901785
370.244720, 172.353516, 178.857422, 55.803570
360.686401, 162.509766, 170.595703, 59.151787
364.446045, 175.253906, 164.970703, 74.497765
319.032501, 127.177734, 126.826172, 88.448662
328.088867, 142.822266, 128.408203, 94.308037
338.532013, 142.207031, 148.798828, 117.466515
321.179474, 135.087891, 122.958984, 131.417404
Fillin, 88.505859, 92.724609, 297.154022
372.240021, 170.068359, -175.166016, 39.341518
347.010651, 148.710938, 158.378906, 54.687500
342.594513, 148.535156, 150.205078, 60.546875
352.612518, 155.478516, 162.246094, 89.843750
381.860718, 175.693359, -162.509766, 145.368301
354.125336, 158.115234, 162.509766, 52.176338
345.671722, 146.513672, 158.115234, 69.196426
330.025299, 141.679688, 133.242188, 88.448662
352.545074, 154.599609, 163.037109, 119.698662
343.237518, 155.830078, 144.140625, 132.254471
342.709503, 153.984375, 145.019531, 170.758926
Fillin, -178.945313, 166.904297, 146.484375
293.222473, 113.466797, 91.494141, 244.140625
Fillin, 102.392578, 76.816406, 341.796875
377.034058, 167.695313, -163.652344, 46.875000
410.953888, -173.496094, -118.212891, 64.732140
379.689850, 173.935547, -164.882813, 95.145088
361.818329, 160.839844, 174.375000, 131.696426
370.193329, 166.816406, -175.781250, 128.348221
366.054321, 168.662109, 174.638672, 41.294643
364.124847, 169.804688, 169.804688, 70.591515
383.850891, 179.912109, -162.949219, 104.073662
343.711823, 151.699219, 149.150391, 153.459824
406.402527, -163.564453, -136.757813, 34.040180
381.459320, 171.035156, -158.642578, 45.200893
380.459412, 179.208984, -168.662109, 58.035713
359.133148, 155.126953, 174.990234, 64.732140
360.975433, 154.863281, 178.769531, 71.428574
360.123047, 156.533203, 175.429688, 91.238838
342.287292, 155.830078, 142.294922, 106.863838
353.991608, 163.125000, 157.236328, 57.756695
364.611328, 168.750000, 171.738281, 71.986610
Fillin, -173.935547, 166.025391, 64.732140
344.950439, 153.808594, 149.414063, 83.705360
368.561066, 165.410156, -177.451172, 107.700890
334.463867, 133.066406, 150.205078, 143.694199
Fillin, -167.607422, -155.214844, 27.622768
354.364136, 159.873047, 161.191406, 79.799110
327.562256, 134.824219, 135.351563, 164.062500
306.311066, 122.167969, 107.753906, 212.611603
352.643829, 142.207031, 175.605469, 15.345983
334.776337, 136.669922, 147.216797, 27.343750
332.913147, 144.580078, 135.791016, 43.805805
Fillin, 121.816406, 141.503906, 52.455357
350.279053, 151.171875, 162.070313, 73.381699
366.607788, 169.277344, 174.990234, 0.000000
341.508362, 139.218750, 157.412109, 36.551338
359.513275, 165.498047, 165.322266, 53.013393
Fillin, -173.583984, 178.681641, 61.104912
373.685120, 178.330078, 179.384766, 99.888390
331.434448, 133.769531, 143.789063, 119.419640
Fillin, -152.138672, -159.345703, 41.294643
363.588196, 161.455078, 177.099609, 58.314732
368.928009, 173.056641, 175.693359, 76.729912
341.099274, 147.656250, 148.271484, 98.772324
336.439880, 142.646484, 144.404297, 121.930801
351.031403, 158.203125, 156.533203, 150.390625
317.498779, 126.210938, 124.892578, 167.968750
Fillin, 118.300781, 124.189453, 182.198654
Fillin, 105.468750, 110.126953, 248.046875
Fillin, 103.886719, 71.367188, 301.060272
328.091492, 151.523438, 119.707031, 20.926340
371.313110, 177.275391, 175.957031, 30.970982
362.387390, 156.533203, 179.736328, 47.712055
372.422913, 163.388672, -168.134766, 55.524555
344.082367, 153.105469, 148.447266, 145.926346
Fillin, 88.417969, 54.755859, 192.243301
Fillin, 124.716797, 150.996094, 41.294643
340.360352, 143.701172, 150.820313, 54.966518
359.679413, 167.607422, 163.564453, 89.285713
267.885254, 129.111328, 27.861328, 6.975446
274.776001, 118.740234, 51.328125, 11.997767
257.390839, 117.773438, 19.248047, 21.484375
262.603027, 115.136719, 31.816406, 62.779018
259.126129, 111.181641, 29.179688, 143.694199
370.079407, 178.945313, 172.001953, 40.736607
379.860535, 175.517578, -166.113281, 43.526787
327.526520, 136.845703, 133.330078, 61.941963
336.382874, 143.701172, 143.261719, 75.613838
346.258881, 152.226563, 153.457031, 117.466515
357.541138, 153.105469, 174.023438, 52.176338
340.845978, 140.097656, 155.302734, 62.779018
339.128937, 135.878906, 156.269531, 77.008926
342.566254, 137.285156, 161.367188, 83.426338
352.416595, 165.146484, 152.226563, 143.973221
359.127930, 159.609375, 170.507813, 31.808035
349.815796, 150.029297, 162.421875, 68.359375
370.358490, 177.011719, 174.375000, 64.453125
362.462402, 157.060547, 179.384766, 101.841515
304.655151, 117.070313, 109.687500, 197.823654
336.087402, 135.087891, 151.259766, 27.622768
369.102539, 158.642578, -169.628906, 29.017857
385.846039, 173.496094, -152.753906, 55.524555
362.196259, 162.597656, 173.320313, 50.223213
364.607849, 165.673828, 174.814453, 79.799110
363.880035, 159.169922, 179.912109, 128.627228
Fillin, 66.093750, 23.642578, 265.345978
Fillin, 108.105469, -115.136719, 0.000000
Fillin, 139.306641, -136.933594, 79.799110
Fillin, -147.568359, 137.109375, 35.435268
273.751129, 116.279297, 51.855469, 46.875000
Fillin, 139.218750, -158.027344, 91.238838
Fillin, 130.693359, 170.859375, 50.781250
345.504944, 156.357422, 147.919922, 64.453125
334.640625, 153.193359, 130.429688, 66.406250
340.099884, 149.853516, 144.140625, 91.517860
398.864410, -175.253906, -139.394531, 30.970982
367.598846, 150.117188, -164.003906, 39.899555
357.731842, 161.455078, 166.025391, 54.129463
378.761658, -178.505859, -174.287109, 69.475449
375.748016, 170.332031, -168.750000, 95.982140
376.170319, 169.716797, -167.343750, 116.350449
Fillin, -149.941406, -152.753906, 137.276779
405.790131, -164.267578, -137.197266, 39.062500
377.261688, 174.638672, -170.156250, 66.406250
366.340698, 163.125000, -179.472656, 75.892860
393.487793, -174.462891, -150.380859, 91.517860
372.042633, 176.748047, 177.890625, 109.654015
357.589722, 164.970703, 162.158203, 129.464279
356.641357, 158.554688, 166.816406, 41.015625
366.302368, 157.587891, -173.935547, 63.058037
362.270142, 166.992188, 169.101563, 70.591515
365.415161, 159.169922, -177.187500, 108.258926
Fillin, 114.697266, 128.056641, 158.203125
Fillin, 112.675781, 133.593750, 235.491074
362.842743, 165.322266, 171.826172, 54.408482
345.236176, 145.986328, 157.763672, 62.220982
350.919159, 151.875000, 162.685547, 69.196426
347.540771, 149.677734, 158.466797, 77.287949
