C:\Documents and Settings\Amirreza Amighi\Desktop\Brooks\Experiments\PDPA\Brooks_PDPA\1mm splash\110.7-1522\354
"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)", "Time Ch. 1 (sec)", "Time Ch. 2 (sec)"
350.499481, 161.982422, 135.527344, 577.287964, 0.000340, 0.000337
324.252319, 124.277344, 124.980469, 574.776794, 0.000344, 0.000342
338.781311, 139.218750, 136.669922, 506.417419, 0.000348, 0.000370
347.172333, 148.271484, 143.173828, 566.964294, 0.000878, 0.000878
350.411438, 146.601563, 150.732422, 322.823669, 0.000904, 0.000921
329.472443, 148.710938, 110.126953, 559.430786, 0.001420, 0.001444
352.082489, 157.236328, 143.173828, 518.415161, 0.001963, 0.001974
354.592499, 149.150391, 155.917969, 257.254456, 0.001987, 0.001995
347.975189, 157.236328, 135.615234, 598.214294, 0.002489, 0.002498
392.686340, 177.099609, -162.070313, 163.504471, 0.002531, 0.002535
347.144684, 161.015625, 130.253906, 537.946411, 0.003028, 0.003029
344.112549, 158.027344, 127.617188, 573.939758, 0.003033, 0.003058
377.320374, 158.466797, -171.562500, 56.919643, 0.003087, 0.003084
342.059113, 150.029297, 132.011719, 510.881683, 0.003578, 0.003595
371.063202, 160.488281, 174.814453, 73.381699, 0.003624, 0.003620
327.715271, 132.275391, 123.310547, 590.959839, 0.004103, 0.004101
341.511932, 141.943359, 138.955078, 558.872742, 0.004651, 0.004666
349.172180, 144.228516, 150.820313, 85.937500, 0.004695, 0.004696
331.876495, 148.183594, 115.048828, 602.678589, 0.005184, 0.005193
361.995728, 158.554688, 160.048828, 256.696442, 0.005213, 0.005225
354.884247, 165.849609, 139.746094, 535.993286, 0.005728, 0.005744
329.312225, 138.427734, 120.058594, 520.926331, 0.006250, 0.006245
330.780579, 140.712891, 120.585938, 582.589294, 0.006259, 0.006280
397.400909, 179.648438, -155.917969, 134.486603, 0.006840, 0.006844
383.176636, 167.431641, -169.892578, 559.430786, 0.007337, 0.007358
342.767059, 145.371094, 137.812500, 587.053589, 0.007868, 0.007863
339.465607, 146.337891, 130.869141, 539.620544, 0.007874, 0.007895
327.888794, 131.484375, 124.453125, 529.296875, 0.008417, 0.008427
342.265411, 139.042969, 143.261719, 593.471008, 0.008944, 0.008968
337.509247, 142.470703, 131.044922, 555.524536, 0.009488, 0.009499
350.106018, 145.019531, 151.787109, 207.031250, 0.009519, 0.009525
350.357483, 139.833984, 157.324219, 571.986633, 0.010019, 0.010019
340.949829, 149.853516, 130.078125, 496.093750, 0.010031, 0.010031
346.161499, 153.808594, 135.703125, 375.000000, 0.010042, 0.010043
361.434601, 156.269531, 161.367188, 272.879456, 0.010050, 0.010062
379.952209, 162.158203, -170.419922, 80.078125, 0.010609, 0.010613
363.206696, 166.464844, 154.511719, 536.830383, 0.011104, 0.011122
331.430695, 139.921875, 122.431641, 564.174133, 0.011636, 0.011634
360.988831, 160.224609, 156.621094, 338.448669, 0.011657, 0.011654
340.077087, 141.064453, 137.197266, 129.743301, 0.011673, 0.011670
408.991577, -166.113281, -148.798828, 103.794640, 0.011682, 0.011687
341.838165, 151.347656, 130.253906, 547.433044, 0.012177, 0.012196
349.198853, 150.029297, 145.107422, 521.763367, 0.012708, 0.012734
326.546539, 131.660156, 121.728516, 523.158508, 0.013241, 0.013242
365.423950, 170.156250, 154.863281, 560.267883, 0.013246, 0.013272
338.736176, 137.285156, 138.603516, 562.778992, 0.013782, 0.013773
349.355133, 140.361328, 155.039063, 527.901794, 0.013786, 0.013794
369.497101, 168.398438, 164.091797, 342.633942, 0.013806, 0.013820
340.467010, 134.208984, 144.843750, 539.899536, 0.014319, 0.014320
345.128937, 146.425781, 141.240234, 530.412964, 0.014325, 0.014349
371.162537, 150.468750, -174.902344, 68.080360, 0.014374, 0.014374
328.788818, 131.923828, 125.683594, 562.500000, 0.014857, 0.014877
360.845825, 160.839844, 155.654297, 559.988831, 0.015392, 0.015390
333.474121, 146.953125, 119.267578, 580.636169, 0.015397, 0.015421
328.817719, 144.052734, 113.554688, 543.805786, 0.015936, 0.015954
392.666534, 176.748047, -161.630859, 72.823662, 0.015985, 0.015987
340.681458, 153.544922, 125.947266, 547.991089, 0.016464, 0.016460
341.252655, 153.984375, 126.562500, 532.645081, 0.016478, 0.016493
371.758209, 172.001953, 164.619141, 525.111633, 0.017015, 0.017033
339.306396, 130.078125, 146.865234, 95.703125, 0.017058, 0.017057
346.278809, 143.701172, 146.074219, 577.846008, 0.017542, 0.017544
337.015747, 135.439453, 137.285156, 483.537933, 0.017559, 0.017569
360.766907, 154.687500, 161.718750, 94.308037, 0.017596, 0.017597
340.998871, 129.462891, 150.556641, 75.613838, 0.017601, 0.017605
356.341827, 155.478516, 152.753906, 511.997772, 0.018626, 0.018649
377.076782, 178.505859, 167.958984, 532.366089, 0.019157, 0.019157
351.444031, 155.126953, 144.140625, 573.660706, 0.019160, 0.019184
415.861969, -166.376953, -135.966797, 94.308037, 0.019211, 0.019208
328.641602, 134.296875, 122.958984, 526.785706, 0.019687, 0.019689
383.084198, 177.714844, 179.736328, 538.504456, 0.020230, 0.020227
383.921387, 177.802734, -178.857422, 572.544617, 0.020235, 0.020248
353.439026, 144.316406, 158.642578, 235.212051, 0.020271, 0.020276
404.228607, -169.541016, -154.160156, 74.218750, 0.020288, 0.020288
336.606659, 146.953125, 124.980469, 542.968750, 0.020779, 0.020798
323.110535, 125.419922, 121.728516, 577.008911, 0.021312, 0.021325
338.986023, 143.525391, 132.802734, 277.901794, 0.021338, 0.021349
339.785980, 149.414063, 128.408203, 590.959839, 0.021849, 0.021870
364.610016, 156.357422, 167.167969, 537.667419, 0.022924, 0.022950
351.075226, 166.728516, 131.835938, 509.486603, 0.023457, 0.023448
360.471832, 166.025391, 149.765625, 533.203125, 0.023461, 0.023485
327.160645, 137.460938, 117.158203, 522.600464, 0.023998, 0.024010
346.054626, 147.656250, 141.679688, 326.171875, 0.024023, 0.024038
331.694885, 143.437500, 119.531250, 579.799133, 0.024533, 0.024531
344.440765, 156.005859, 130.341797, 571.707581, 0.024537, 0.024561
341.631805, 157.060547, 124.101563, 523.158508, 0.025074, 0.025083
340.373749, 136.494141, 142.382813, 378.069183, 0.025096, 0.025109
378.819214, 151.083984, -161.455078, 60.546875, 0.025130, 0.025131
344.961304, 148.359375, 139.130859, 118.303574, 0.025577, 0.025577
370.887115, 168.046875, 166.992188, 508.649567, 0.025615, 0.025620
357.296783, 161.542969, 148.535156, 385.044647, 0.025631, 0.025644
367.824463, 151.435547, 178.066406, 114.955360, 0.025657, 0.025661
358.415466, 162.246094, 149.853516, 559.151794, 0.026148, 0.026146
359.062378, 174.023438, 139.306641, 511.160706, 0.026152, 0.026175
339.864594, 140.449219, 137.460938, 556.361633, 0.026685, 0.026684
354.491760, 155.214844, 149.677734, 155.133926, 0.026723, 0.026729
347.672394, 146.425781, 145.986328, 520.926331, 0.027221, 0.027213
351.326416, 159.257813, 139.746094, 525.111633, 0.027226, 0.027244
355.650421, 141.679688, 165.322266, 553.292419, 0.027764, 0.027786
393.472656, 173.144531, -156.621094, 67.243301, 0.028357, 0.028353
363.116699, 163.212891, 157.500000, 489.397308, 0.029374, 0.029375
370.220367, 167.958984, 165.849609, 503.906250, 0.029382, 0.029405
335.310211, 136.669922, 132.890625, 573.939758, 0.029919, 0.029939
334.165863, 141.943359, 125.507813, 557.198669, 0.030454, 0.030471
396.718231, 178.681641, -156.269531, 108.258926, 0.031036, 0.031040
355.350830, 144.052734, 162.333984, 563.337036, 0.031519, 0.031520
336.503326, 137.197266, 134.560547, 565.011169, 0.031531, 0.031552
353.333771, 152.314453, 150.468750, 513.392883, 0.032068, 0.032090
368.507080, 168.750000, 161.894531, 513.950867, 0.032609, 0.032622
309.740845, 128.320313, 94.218750, 585.937500, 0.033142, 0.033165
344.554169, 142.294922, 144.404297, 576.450867, 0.033678, 0.033700
348.457031, 157.500000, 136.230469, 564.732117, 0.034212, 0.034236
327.990814, 133.593750, 122.519531, 588.448669, 0.034755, 0.034758
365.122070, 165.673828, 158.642578, 486.607147, 0.034766, 0.034783
