C:\Documents and Settings\Amirreza Amighi\Desktop\Brooks\Experiments\PDPA\Brooks_PDPA\1mm splash\110.7-1522\125
"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)", "Time Ch. 1 (sec)", "Time Ch. 2 (sec)"
106.113663, 51.328125, 153.896484, 35.156250, 0.000680, 0.000680
151.113693, 71.367188, -144.580078, 75.613838, 0.002388, 0.002386
98.254593, 40.517578, 150.380859, 23.716518, 0.004155, 0.004153
106.001633, 49.306641, 155.742188, 65.011162, 0.012101, 0.012098
110.349159, 45.000000, 167.871094, 63.058037, 0.012328, 0.012327
93.686928, 44.033203, 138.603516, 83.426338, 0.018109, 0.018110
119.739105, 49.658203, -179.736328, 56.919643, 0.020218, 0.020219
98.538338, 46.054688, 145.458984, 78.683037, 0.023053, 0.023052
95.760033, 47.460938, 138.955078, 69.475449, 0.023968, 0.023964
284.749329, 129.902344, 39.550781, 183.872772, 0.030807, 0.030803
108.676117, 60.380859, 149.501953, 81.473213, 0.038568, 0.038565
111.307442, 45.703125, 168.925781, 140.345978, 0.040417, 0.040419
92.770164, 49.658203, 131.308594, 65.569199, 0.040576, 0.040575
107.088417, 50.273438, 156.708984, 65.290176, 0.041477, 0.041476
105.450310, 45.263672, 158.730469, 54.687500, 0.043896, 0.043894
235.028885, 94.833984, -15.644531, 105.747765, 0.045893, 0.045892
97.443619, 38.583984, 150.908203, 42.410713, 0.046286, 0.046284
105.928459, 46.318359, 158.554688, 40.736607, 0.048300, 0.048300
102.405411, 46.582031, 151.875000, 28.180803, 0.050966, 0.050964
178.828140, 90.000000, -113.027344, 59.988838, 0.054051, 0.054052
90.868423, 26.279297, 151.259766, 97.377235, 0.054527, 0.054522
205.991638, 91.142578, -64.863281, 96.261162, 0.054581, 0.054580
91.833961, 32.607422, 146.689453, 61.383930, 0.055126, 0.055124
64.709694, 29.707031, 100.371094, 16.462053, 0.055793, 0.055793
235.765015, 99.492188, -19.248047, 158.482147, 0.056992, 0.056989
122.261803, 62.666016, 171.826172, 99.609375, 0.058758, 0.058755
101.113297, 47.548828, 148.535156, 109.375000, 0.064686, 0.064682
93.451973, 36.386719, 145.810547, 46.595982, 0.065677, 0.065676
92.117676, 44.384766, 135.351563, 20.647322, 0.070226, 0.070225
131.406372, 74.003906, 177.099609, 119.140625, 0.071591, 0.071594
105.267410, 50.097656, 153.544922, 30.970982, 0.078251, 0.078251
146.944443, 70.400391, -151.171875, 125.279015, 0.082146, 0.082139
